Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0201_0603Metric",108.522000,-114.046000,0.000000,top
"C2","2.2u","C_0201_0603Metric",104.252000,-106.934000,0.000000,top
"C3","10n","C_0201_0603Metric",108.092000,-106.934000,180.000000,top
"J1","Conn_01x04_Male","PinHeader_1x04_P1.27mm_Vertical",104.272000,-117.602000,90.000000,top
"J2","Conn_01x04_Male","PinHeader_1x04_P1.27mm_Vertical",100.838000,-107.734000,0.000000,top
"J3","Conn_01x04_Male","PinHeader_1x04_P1.27mm_Vertical",111.252000,-107.734000,0.000000,top
"R1","10k","R_0201_0603Metric",108.522000,-115.062000,180.000000,top
"R2","10k","R_0201_0603Metric",103.822000,-114.554000,0.000000,top
"R3","10k","R_0201_0603Metric",103.822000,-115.570000,0.000000,top
"R4","10k","R_0201_0603Metric",103.822000,-113.538000,0.000000,top
"R5","47k","R_0201_0603Metric",106.172000,-106.934000,180.000000,top
"U1","LIS3MDLTR","VFLGA-12_2x2mm",106.172000,-114.554000,180.000000,top
"U2","DRV8833RTY","Texas_S-PWQFN-N16_EP2.1x2.1mm_ThermalVias",106.172000,-110.236000,90.000000,top
